nombre,tipo_evento,mes_celebracion,dia_inicio,dia_fin,descripcion,recomendaciones_viaje,municipio_pcode
Feria de Jocotenango,Feria Patronal,8,15,15,"Celebración en honor a la Virgen de la Asunción con juegos de feria, comida típica y procesiones.",Llegar temprano ya que se llena mucho. Utilizar parqueos oficiales autorizados.,GT0101
Festival de Barriletes Gigantes de Sumpango,Festival Artístico,11,1,1,Exhibición y vuelo de coloridos barriletes gigantes hechos de papel de china que comunican a los vivos con los muertos.,"Llevar ropa cómoda, protector solar y gorra. El tráfico de ingreso es pesado ese día.",GT0304
Feria Patronal de Cobán,Feria Patronal,8,1,6,"Celebración en honor a Santo Domingo de Guzmán, con danzas folklóricas y ceremonias religiosas.",Excelente oportunidad para probar el Kaq'ik local auténtico.,GT1601
Festival Folklórico Nacional Rabin Ajaw,Festival Artístico,7,25,27,"Elección y coronación de la reina indígena nacional Rabin Ajaw, un evento cultural y ceremonial maya de gran importancia.",Reservar hotel con mucha anticipación ya que atrae a visitantes de todo el país.,GT1601
Fiesta de Santo Tomás,Feria Patronal,12,13,21,"Celebración patronal en honor a Santo Tomás Apóstol, conocida por sus coloridas danzas folklóricas (incluyendo el Palo Volador) y ceremonias sincréticas mayas.",Reservar hospedaje con mucha anticipación. Llevar ropa muy abrigada ya que el clima es frío en diciembre.,GT1406
Semana Santa en Antigua Guatemala,Celebración Religiosa,3,22,29,"Conmemoración de la Pasión, Muerte y Resurrección de Jesús con solemnes procesiones y alfombras de aserrín de colores que cubren las calles empedradas.","Llegar a pie o en transporte colectivo, dado que el tránsito de vehículos se restringe en el casco colonial.",GT0301
Carrera de Cintas de Todos Santos Cuchumatán,Celebración Tradicional,11,1,1,"Tradicional carrera de caballos donde los jinetes visten el traje típico local de rayas rojas y blancas, celebrada como ritual el Día de Todos los Santos.",Respetar las costumbres locales y mantener una distancia prudente de la pista de carreras por seguridad.,GT1315
Quema del Diablo,Celebración Tradicional,12,7,7,"Tradición popular donde se quema una figura del diablo o piñata de color rojo a las 18:00 horas, simbolizando la purificación espiritual para recibir la Navidad.",Mantener la precaución con el fuego y los juegos pirotécnicos en las calles.,GT0101
Feria Patronal de Palín (Virgen de Concepción),Feria Patronal,12,6,9,Feria patronal emblemática por el Baile de la Conquista y venta de variada comida tradicional poqomam.,Degustar los platillos y atoles locales en las inmediaciones de la ceiba central.,GT0511
Feria Patronal de Sololá (Virgen de Concepción),Feria Patronal,12,8,8,"Celebración de la patrona de Sololá con procesiones que combinan la fe católica y ceremonias mayas tradicionales, además de danzas de Moros y Cristianos.",Aprovechar para visitar el mercado local y disfrutar del paisaje hacia el Lago de Atitlán.,GT0701
Feria Patronal de Cantel,Feria Patronal,8,12,18,"Celebración en honor a la Virgen de la Asunción con actividades culturales, deportivas, desfiles y venta de comida típica del altiplano.",Llevar ropa abrigada y paraguas ya que agosto es mes de lluvia en el altiplano occidental.,GT0912
Romería del Cristo Negro de Esquipulas,Celebración Religiosa,1,11,15,Una de las peregrinaciones más grandes de Centroamérica hacia la Basílica de Esquipulas para venerar al Cristo Negro milagroso.,Esquipulas se llena a su máxima capacidad; reservar hospedaje meses antes y prepararse para largas filas en el templo.,GT2007
