nombre,descripcion,historia_origen,es_patrimonio,departamento_pcode,municipio_pcode
Juybil Pur,"En idioma Q’eqchi’ Juybil Pur significa jutes en recado. Los jutes son caracoles de agua dulce, encontrados en los 48 ríos que atraviesan Alta Verapaz, entre otros departamentos. | Ingredientes: 2     libras de caracoles, 4     tomates, 1     cebolla, 3     pimientas de castilla, 2     clavos de olor, 1     raja de canela, 2     dientes de ajo, 1     cucharadita de achiote, ½     taza de masa de maíz, 1     litro de agua, 1     cucharada de pasta, de chile cobanero, sal al gusto","En idioma Q’eqchi’ Juybil Pur significa jutes en recado. Los jutes son caracoles de agua dulce, encontrados en los 48 ríos que atraviesan Alta Verapaz, entre otros departamentos.",false,GT16,GT1614
Boxboles,"Este platillo se acostumbra a preparar con hojas de güisquil. Sin embargo, en otras comunidades, se utiliza hoja de ayote. De preferencia son consumidos recién hechos y en familia. También son acompañados con salsa de pepita de ayote. | Ingredientes: 40   hojas de güisquil, 1    libra de masa de maíz, 10   tomates medianos, 4    onzas de pepitoria, 2    onzas de chile cobanero, 5    hojas de maxán, 2    litros de agua, 5    limones, 1    cucharada de sal","Este platillo se acostumbra a preparar con hojas de güisquil. Sin embargo, en otras comunidades, se utiliza hoja de ayote. De preferencia son consumidos recién hechos y en familia. También son acompañados con salsa de pepita de ayote.",false,GT14,
Patín,"El nombre de esta receta hace referencia a la textura del platillo, llamada patii’n en tzutijil. No obstante se puede cocinar con cecina de res, camarones o pollo. El original está elaborado con peces del Lago Atitlán. Su sabor característico viene de la hoja de maxán y reposo de, al menos, 24 horas antes de ser consumido. | Ingredientes: ½    libra de pescado, 2    libras de tomate, 2    chiles guaque, 2    hojas de maxán, 1    chile chiltepe —opcional—, Elena Reanda Sisay, Sololá","El nombre de esta receta hace referencia a la textura del platillo, llamada patii’n en tzutijil. No obstante se puede cocinar con cecina de res, camarones o pollo. El original está elaborado con peces del Lago Atitlán. Su sabor característico viene de la hoja de maxán y reposo de, al menos, 24 horas antes de ser consumido.",false,GT07,
Caldo de gallina criolla con hoja de chaya,"criolla colorado Se prepara con achiote, ingrediente de color rojo vibrante. Este platillo se sirve tradicionalmente para la feria patronal del municipio, celebrada cada Sábado de Gloria, durante la conmemoración de la Semana Santa. | Ingredientes: 1    gallina de 3 libras, 1    güisquil grande, 1    libra de papa, 1    libra de tomate, 1    cebolla mediana, 1    manojo de hierbabuena, 1    cucharada de achiote, sal al gusto","criolla colorado Se prepara con achiote, ingrediente de color rojo vibrante. Este platillo se sirve tradicionalmente para la feria patronal del municipio, celebrada cada Sábado de Gloria, durante la conmemoración de la Semana Santa.",false,GT07,GT0702
Chojín,"Es un platillo que se prepara para actividades especiales como la fiesta patronal. La palabra Chojín viene del k’iche’ que significa “asar”. Se cocina sobre ramas del árbol “palo de pito”, el cual se describe en el libro sagrado de los mayas, el Popol Vuh. | Ingredientes: 2    libras de carne de res:, posta, viuda, costilla, 2    libras de limón, 1    cucharada de sal, 4    tomates, 1    chile pasa, 1    chile pimiento, 1    manojo de hierbabuena, 1    cebolla, 4    ramas del palo de pito, Marta Cacoj, Suchitepéquez","Es un platillo que se prepara para actividades especiales como la fiesta patronal. La palabra Chojín viene del k’iche’ que significa “asar”. Se cocina sobre ramas del árbol “palo de pito”, el cual se describe en el libro sagrado de los mayas, el Popol Vuh.",false,GT10,
Tapado,"Es un platillo tradicional del pueblo garífuna, que procede del mestizaje de grupos originarios de África y el Caribe. Esta cultura se extiende por Honduras, Nicaragua, Belice y Guatemala. | Ingredientes: 4    cocos, 1    libra de camarón, 6    jaibas, 1    libra de pescado, 1    cucharada de aceite, 2    bananos verdes, 2    plátanos verdes, 1    plátano maduro, 3    dientes de ajo, 1    cebolla mediana, 1    chile pimiento, 1    manojo de culantro, 2    hojas de orégano, sal al gusto","Es un platillo tradicional del pueblo garífuna, que procede del mestizaje de grupos originarios de África y el Caribe. Esta cultura se extiende por Honduras, Nicaragua, Belice y Guatemala.",false,GT18,GT1802
Gallina en crema y loroco,"El cultivo del loroco es característico de Jalapa, así como la producción de crema y queso, que se distinguen por su sabor y calidad. Este platillo es preparado para reuniones familiares y almuerzos de domingo. | Ingredientes: 2    tomates grandes, 2    cebollas medianas, 1    cabeza de ajo, 1    manojo de cilantro, 1    manojo de hierbabuena, 1    gallina de 2 libras, 1    taza de loroco, 2    vasos de crema, Yolanda de Bonilla, Jalapa","El cultivo del loroco es característico de Jalapa, así como la producción de crema y queso, que se distinguen por su sabor y calidad. Este platillo es preparado para reuniones familiares y almuerzos de domingo.",false,GT21,
Caldo de bodas,"Según la tradición oral de los abuelos en San Juan Comalapa, el «Religo», es un legado ancestral que consta de cuatro elementos: pa’pixa, la transmisión de conocimientos a través de un choloj o consejero; paq’ex o religo, intercambio de regalos; pak’uch, mutualidad o hacer algo en unión entre dos; y pakomon, hacer en unión familiar. | Ingredientes: 2    litros de agua, 2    libras de carne de res, 1    zanahoria mediana, 1    libra de papa, 1    güisquil mediano, ¼    de repollo, 1    tomate mediano, 1    chile pimiento pequeño, 1    cebolla pequeña, 1    rama de apio, 1    rama de cilantro, sal al gusto, Migrid Betzabé Bal, Chimaltenango","Según la tradición oral de los abuelos en San Juan Comalapa, el «Religo», es un legado ancestral que consta de cuatro elementos: pa’pixa, la transmisión de conocimientos a través de un choloj o consejero; paq’ex o religo, intercambio de regalos; pak’uch, mutualidad o hacer algo en unión entre dos; y pakomon, hacer en unión familiar.",false,GT04,
Estofado,"Una receta que ejemplifica la fusión de técnicas europeas con los sabores de ingredientes guatemaltecos. El nombre de la técnica viene del francés étouffer, que significa ahogar o asfixiar, una técnica de cocción en un espacio cerrado. | Ingredientes: 3    libras de tomate, 4    onzas de miltomate, 1    chile pimiento grande, 1    manojo de cebolla con tallo, 1    unidad de chile guaque, 1    unidad de chile pasa, 4    dientes de ajo, 3    clavos de olor, 3    litros de agua, 1    libra de carne de res, 1    libra de carne de cerdo, 1    libra de pollo, 1    cucharadita de albahaca, 2    ramas de tomillo, 4    hojas de laurel, pimienta al gusto, 3    tazas de caldo de pollo, 3    cucharaditas de vinagre, 1    raja de canela, 2    naranjas, 1    cucharadita de sal","Una receta que ejemplifica la fusión de técnicas europeas con los sabores de ingredientes guatemaltecos. El nombre de la técnica viene del francés étouffer, que significa ahogar o asfixiar, una técnica de cocción en un espacio cerrado.",false,GT04,
Pepián,"Este platillo es un guiso tradicional guatemalteco que, por su tradición e historia, se ha vuelto célebre. Además, esta delicia es de origen kaqchikel servido en bodas, celebración de cumpleaños y hasta en las exequias. Declarado Patrimonio Cultural Intangible de la Nación en 2015. | Ingredientes: 1    gallina criolla de 4 libras, 1    libra de papa, ½    libra de ejote, 1    zanahoria mediana, 1    güisquil mediano, 1    onza de ajonjolí, 1    onza de pepitoria, 1    manojo de cilantro, 1    raja de canela (opcional), 2    clavos de olor, 5    pimientas gordas, 5    pimientas de castilla, 2    libras de tomate, 2    cebollas medianas, 1    diente de ajo, 2    onzas de miltomate, 1    chile pimiento, 1    chile guaque, 1    chile pasa, pan tostado para espesar, sal al gusto","Este platillo es un guiso tradicional guatemalteco que, por su tradición e historia, se ha vuelto célebre. Además, esta delicia es de origen kaqchikel servido en bodas, celebración de cumpleaños y hasta en las exequias. Declarado Patrimonio Cultural Intangible de la Nación en 2015.",true,GT04,GT0416
